Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|4.5|002|02/01/2018|0
Barajevo|4.5|003|03/01/2018|0
Barajevo|4.5|004|04/01/2018|0
Barajevo|4.5|005|05/01/2018|0
Barajevo|4.5|006|06/01/2018|327.27
Barajevo|4.5|007|07/01/2018|0
Barajevo|4.5|008|08/01/2018|327.27
Barajevo|4.5|009|09/01/2018|0
Barajevo|4.5|010|10/01/2018|0
Barajevo|4.5|011|11/01/2018|0
Barajevo|4.5|012|12/01/2018|0
Barajevo|4.5|101|01/01/2019|0
Barajevo|4.5|102|02/01/2019|0
Barajevo|4.5|103|03/01/2019|0
Barajevo|4.5|104|04/01/2019|0
Barajevo|4.5|105|05/01/2019|0
Barajevo|4.5|106|06/01/2019|0
Barajevo|4.5|107|07/01/2019|0
Barajevo|4.5|108|08/01/2019|0
Barajevo|4.5|109|09/01/2019|0
Barajevo|4.5|110|10/01/2019|0
Barajevo|4.5|111|11/01/2019|0
Barajevo|4.5|112|12/01/2019|0
Barajevo|4.5|201|01/01/2020|0
Barajevo|4.5|202|02/01/2020|0
Barajevo|4.5|203|03/01/2020|0
Barajevo|4.5|204|04/01/2020|0
Barajevo|4.5|205|05/01/2020|0
Barajevo|4.5|206|06/01/2020|0
Barajevo|4.5|207|07/01/2020|0
Barajevo|4.5|208|08/01/2020|0
Barajevo|4.5|209|09/01/2020|246.67
Barajevo|4.5|210|10/01/2020|246.67
Barajevo|4.5|211|11/01/2020|0
Barajevo|4.5|212|12/01/2020|0
Barajevo|4.5|301|01/01/2021|0
Barajevo|4.5|302|02/01/2021|0
Barajevo|4.5|303|03/01/2021|0
Barajevo|4.5|304|04/01/2021|0
Barajevo|4.5|305|05/01/2021|0
Barajevo|4.5|306|06/01/2021|0
Barajevo|4.5|307|07/01/2021|0
Barajevo|4.5|308|08/01/2021|0
Barajevo|4.5|309|09/01/2021|0
Barajevo|4.5|310|10/01/2021|0
Barajevo|4.5|311|11/01/2021|0
Barajevo|4.5|312|12/01/2021|0
Barajevo|4.5|401|01/01/2022|0
Barajevo|4.5|402|02/01/2022|0
