m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
130|gas|0|142000|08/31/2022 17:20:21|3|-1|False|no|yes|Petlovo Brdo
67|central|0|110000|03/31/2023 16:05:23|2.5|1|False|yes|yes|Miljakovac III
111|central|0|89990|03/31/2022 15:10:17|3.5|0|False|no|yes|Petlovo Brdo
46|district|0|86000|04/30/2023 15:01:31|2|0|False|no|yes|Kanarevo Brdo
55|district|0|120000|02/01/2023 14:18:01|2|1|False|no|yes|Kanarevo Brdo
95|district|0|150000|03/31/2023 14:17:10|4|2|True|no|yes|Vidikovac
79|district|0|159000|03/20/2023 18:23:11|3|2|False|no|yes|Miljakovac
121|central|0|120000|03/31/2023 07:07:23|3|0|False|no|yes|Resnik
121|central|0|120000|03/31/2023 07:07:22|3|1|False|no|yes|Resnik
61|storageHeater|0|82350|03/31/2023 07:07:20|2.5|-1|False|no|yes|Resnik
105|district|0|148000|06/30/2022 20:22:34|4.5|3|False|no|yes|Labudovo Brdo
51|gas|0|80000|01/30/2023 20:15:15|1.5|1|False|no|yes|Petlovo Brdo
43|district|1|104000|03/30/2023 20:07:13|1.5|4|False|no|yes|Miljakovac
